ID,Určovatel,Pouzdro,Množství,Určení,Poznámka
1,J1,USB_B_TE_5787834_Vertical,1,USB_B,
2,J2,SMA_Jack_Vertical,1,SMA,90° podle antény
3,"C20,C19,C18,C21",C_0805_2012Metric,4,12p,
4,Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,IL3X2-HX5F12.5-32.768KHZ,
5,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,ABM7-8.000MHZ-D2Y,
6,U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102,
7,"C2,C3,C4,C6,C7,C10,C11,C12,C13,C14,C15,C16,C17",C_0805_2012Metric,13,100n X7R,
8,"C5,C8,C9,C1",C_0805_2012Metric,4,1u/50V X7R,
9,J3,PinHeader_1x03_P2.54mm_Vertical,1,UART_01X03,
10,J4,PinHeader_1x04_P2.54mm_Vertical,1,SWD_01X04,
11,D1,D_0603_1608Metric,1,PGB1010603MR,
12,"H3,H1,H2,H4",Bolt_M3,4,M3,
13,U3,HM-TRP-SMD,1,HM-TRP-869S,
14,"D10,D9,D7,D6,D5,D3,D2,D4,D8",LED_0805_2012Metric,9,LED,
15,U5,TQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
16,U1,SOT-223-3_TabPin2,1,MCP1826S,3V3 a 5V
17,U2,SOT-23-6,1,USBLC6-2SC6,
18,"R7,R10,R9,R8,R6,R5,R4,R3,R2",R_0805_2012Metric,9,330R,
19,"R11,R1,R12",R_0805_2012Metric,3,10k,
